Day,Date High,High,Date Low, Low , Closing , No. of Trades , No. of Shares , Turnover ,Last Traded,Days Traded
6/10/2010,10-Jun-10,349.5,10-Jun-10,348,348.5,27,32400.00,11294950.00,10-Jun-10,1
6/11/2010,11-Jun-10,350,11-Jun-10,345,345.75,38,33400.00,11616600.00,11-Jun-10,1
6/14/2010,14-Jun-10,348,14-Jun-10,341,344.75,20,18500.00,6426850.00,14-Jun-10,1
6/15/2010,15-Jun-10,345,15-Jun-10,340,340,24,34000.00,11652000.00,15-Jun-10,1
6/16/2010,16-Jun-10,340,16-Jun-10,335,335.75,32,37700.00,12701150.00,16-Jun-10,1
6/17/2010,17-Jun-10,337,17-Jun-10,325,336,23,11800.00,3949000.00,17-Jun-10,1
6/21/2010,21-Jun-10,336.5,21-Jun-10,330.25,334.75,50,47200.00,15816250.00,21-Jun-10,1
6/22/2010,22-Jun-10,333,22-Jun-10,329.5,330.25,41,74500.00,24739225.00,22-Jun-10,1
6/23/2010,23-Jun-10,330,23-Jun-10,324,326.75,69,2376200.00,760996775.00,23-Jun-10,1
6/24/2010,24-Jun-10,360,24-Jun-10,329,358.25,230,923100.00,306835925.00,24-Jun-10,1
6/28/2010,28-Jun-10,395,28-Jun-10,364,365,329,425900.00,158131100.00,28-Jun-10,1
6/29/2010,29-Jun-10,370,29-Jun-10,360,362.75,118,174900.00,64189800.00,29-Jun-10,1
6/30/2010,30-Jun-10,364.75,30-Jun-10,358,359.25,67,50700.00,18275725.00,30-Jun-10,1
7/1/2010,1-Jul-10,364,1-Jul-10,355,355.25,49,62100.00,22251700.00,1-Jul-10,1
7/2/2010,2-Jul-10,356.25,2-Jul-10,351.25,354.5,36,17800.00,6321200.00,2-Jul-10,1
7/5/2010,5-Jul-10,351,5-Jul-10,347,347,84,105000.00,36569250.00,5-Jul-10,1
7/6/2010,6-Jul-10,348,6-Jul-10,342,343.25,68,153600.00,52698725.00,6-Jul-10,1
7/7/2010,7-Jul-10,341,7-Jul-10,330.25,338.25,87,236900.00,80058350.00,7-Jul-10,1
7/8/2010,8-Jul-10,341,8-Jul-10,330,334.5,217,,,8-Jul-10,1
7/9/2010,9-Jul-10,350,9-Jul-10,333,334.5,53,222800.00,76137975.00,9-Jul-10,1
7/12/2010,12-Jul-10,339,12-Jul-10,335,338.5,43,34200.00,11559400.00,12-Jul-10,1
7/13/2010,13-Jul-10,345,13-Jul-10,340,340,62,80200.00,27273450.00,13-Jul-10,1
7/14/2010,14-Jul-10,342,14-Jul-10,338,340,88,579200.00,194823175.00,14-Jul-10,1
7/15/2010,15-Jul-10,340,15-Jul-10,338,339.75,52,103600.00,35095775.00,15-Jul-10,1
7/16/2010,16-Jul-10,340,16-Jul-10,338,338.75,50,57500.00,19515475.00,16-Jul-10,1
7/19/2010,19-Jul-10,340,19-Jul-10,337.5,339.25,36,16100.00,5450950.00,19-Jul-10,1
7/20/2010,20-Jul-10,344,20-Jul-10,340,343,48,212100.00,72115800.00,20-Jul-10,1
7/21/2010,21-Jul-10,345,21-Jul-10,342,343.25,48,60800.00,20831950.00,21-Jul-10,1
7/22/2010,22-Jul-10,350,22-Jul-10,345,347.75,29,26700.00,9307550.00,22-Jul-10,1
7/23/2010,23-Jul-10,361,23-Jul-10,348.75,360,123,318300.00,113932050.00,23-Jul-10,1
7/26/2010,26-Jul-10,365,26-Jul-10,360,365,80,85800.00,31155925.00,26-Jul-10,1
7/27/2010,27-Jul-10,369,27-Jul-10,364,365.5,37,30600.00,11173675.00,27-Jul-10,1
7/28/2010,28-Jul-10,380,28-Jul-10,366,378.75,112,308000.00,115205100.00,28-Jul-10,1
7/29/2010,29-Jul-10,390,29-Jul-10,370,377.5,89,119700.00,45270625.00,29-Jul-10,1
7/30/2010,30-Jul-10,376,30-Jul-10,371,372.75,48,49700.00,18572375.00,30-Jul-10,1
8/2/2010,2-Aug-10,372.8,2-Aug-10,360.1,371,45,45700.00,16886380.00,2-Aug-10,1
8/3/2010,3-Aug-10,372,3-Aug-10,367.9,369,50,63200.00,23389120.00,3-Aug-10,1
8/4/2010,4-Aug-10,370,4-Aug-10,369,370,34,39800.00,14724700.00,4-Aug-10,1
8/5/2010,5-Aug-10,373,5-Aug-10,355.5,366.7,66,48600.00,17818220.00,5-Aug-10,1
8/6/2010,6-Aug-10,373,6-Aug-10,360,363,99,41400.00,15183410.00,6-Aug-10,1
8/9/2010,9-Aug-10,364,9-Aug-10,342.5,351.5,94,37800.00,13239550.00,9-Aug-10,1
8/10/2010,10-Aug-10,370,10-Aug-10,342,369.8,104,74400.00,27121230.00,10-Aug-10,1
8/11/2010,11-Aug-10,370,11-Aug-10,363,364.9,73,96100.00,35440710.00,11-Aug-10,1
8/12/2010,12-Aug-10,379,12-Aug-10,360,365,96,51700.00,18876110.00,12-Aug-10,1
8/13/2010,13-Aug-10,370,13-Aug-10,355.1,367.5,89,127500.00,46879650.00,13-Aug-10,1
8/16/2010,16-Aug-10,372,16-Aug-10,368,369.2,61,84300.00,31157670.00,16-Aug-10,1
8/17/2010,17-Aug-10,370,17-Aug-10,365,365,66,87400.00,31998840.00,17-Aug-10,1
